Fecha,US3MTBR
1/2/2018,0.01411
1/3/2018,0.01404
1/4/2018,0.01404
1/5/2018,0.01404
1/8/2018,0.01414
1/9/2018,0.0145
1/10/2018,0.01424
1/11/2018,0.01437
1/12/2018,0.01445
1/16/2018,0.01429
1/17/2018,0.01445
1/18/2018,0.0144
1/19/2018,0.01434
1/22/2018,0.01424
1/23/2018,0.01447
1/24/2018,0.0144
1/25/2018,0.01427
1/26/2018,0.01422
1/29/2018,0.01409
1/30/2018,0.0146
1/31/2018,0.01465
2/1/2018,0.01488
2/2/2018,0.01486
2/5/2018,0.01493
2/6/2018,0.01524
2/7/2018,0.01547
2/8/2018,0.01552
2/9/2018,0.01562
2/12/2018,0.01572
2/13/2018,0.01608
2/14/2018,0.01588
2/15/2018,0.01598
2/16/2018,0.01608
2/20/2018,0.0161
2/21/2018,0.01647
2/22/2018,0.01644
2/23/2018,0.01644
2/26/2018,0.01646
2/27/2018,0.01675
2/28/2018,0.01659
3/1/2018,0.01629
3/2/2018,0.01644
3/5/2018,0.01667
3/6/2018,0.01682
3/7/2018,0.01685
3/8/2018,0.01675
3/9/2018,0.01675
3/12/2018,0.01682
3/13/2018,0.01726
3/14/2018,0.01754
3/15/2018,0.01772
3/16/2018,0.01779
3/19/2018,0.01769
3/20/2018,0.018
3/21/2018,0.01746
3/22/2018,0.01723
3/23/2018,0.01728
3/26/2018,0.01746
3/27/2018,0.01775
3/28/2018,0.01736
3/29/2018,0.01715
4/2/2018,0.01723
4/3/2018,0.01754
4/4/2018,0.01708
4/5/2018,0.01713
4/6/2018,0.0172
4/9/2018,0.01715
4/10/2018,0.01736
4/11/2018,0.01734
4/12/2018,0.01746
4/13/2018,0.01759
4/16/2018,0.01754
4/17/2018,0.01792
4/18/2018,0.01813
4/19/2018,0.01826
4/20/2018,0.01807
4/23/2018,0.01825
4/24/2018,0.01867
4/25/2018,0.01854
4/26/2018,0.01828
4/27/2018,0.01813
4/30/2018,0.01807
5/1/2018,0.01854
5/2/2018,0.01823
5/3/2018,0.01831
5/4/2018,0.01836
5/7/2018,0.01835
5/8/2018,0.01874
